wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,buy_count,sell_count,buy_shares,sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price,sell_minus_buy_price,first_buy_to_first_sell_seconds,last_buy_to_first_sell_seconds,buy_after_sell,same_hour_two_way
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0xc5c699a636600036ef186b77a5d03ae294a19f3745e2511b8190168ccb531b74,70803492580811538945945655895512269991319242052538881001791811735710718178034,YES,30°C,highest-temperature-in-beijing-on-may-16-2026,10,8,218.838135,218.828259,0.9999548707541307,0.014176002733710008,0.016430186011761855,0.002254183278051847,17274,-16300,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0xe4d7b431616267ea409121baab30a9ee2bc1177738f50429e4f4a87902a147b3,85926621205917432080622761402804114500215075263125973660932130744577889205203,YES,25°C or below,highest-temperature-in-beijing-on-may-16-2026,17,11,133.678125,114.829956,0.8590033410477593,0.3876455104378521,0.36241934987765734,-0.025226160560194777,4445,-17628,True,3
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0xe901fee227e01d7428d3725fb9d957ded1021da4a6cc0a34b50cbf78f6b7be05,80334413709559189303566303966684158366146542027454802639484720912987552771184,YES,31°C,highest-temperature-in-beijing-on-may-16-2026,2,0,26.57,0,0.0,0.012233345878810689,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-17,0x38c8f8688ef1e9d5b277ff094510d8ffd975a894bef48c012ce2d16e156c659c,3642524071303805640318169873836128096164976278454088299148814024769973083865,YES,21°C,arch-highest-temperature-in-beijing-on-may-17-2026,13,2,71.207072,51.35,0.7211362377040303,0.190055181597693,0.1948685491723466,0.004813367574653615,37644,-15733,True,2
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-17,0x3d3181b698bf7e95bd8b3c86fa83bca21aaa209275b1386704ef0901440fc2da,90170092540913225573380621592096898934692613397968622427965057701237397859419,YES,20°C,arch-highest-temperature-in-beijing-on-may-17-2026,6,0,14.90788,0,0.0,0.24000005366289504,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-17,0x85f545e8d17f4947c0c6fa053b25abfb07ab7db77029577f281fa0617f37580b,56411668367903707199467961247686620236094753237541395624815125940198053746448,YES,22°C,arch-highest-temperature-in-beijing-on-may-17-2026,18,3,100.245344,34.27,0.3418612639006955,0.04673017033090335,0.042340822877152025,-0.004389347453751323,42256,-84399,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-17,0xf81a93f5c508a7482e038efd1ea73c65c05c171989cc99d6df6c27f7bf7599c3,61411470161085719137424572700487148942791045439265255809229802234014890577055,YES,23°C or higher,arch-highest-temperature-in-beijing-on-may-17-2026,8,3,91.202919,91.2,0.999967994445441,0.0307822384500654,0.012669736842105263,-0.018112501607960137,35019,-73168,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0x07e7c570f4d38fa8786947312850b4fc9af50860ddc03cf27b1d84a769d71443,50384465183738878501027544150766297502223593156913462221046121449874976711895,YES,30°C,arch-highest-temperature-in-beijing-on-may-18-2026,17,2,139.855618,126.54,0.9047902530451084,0.019480504530036115,0.012136715663031452,-0.007343788867004663,62931,-50866,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0x1d3e1176b7a9ba3968a72bf46afd4e35f6c63e869b3af9e21d8ee395a0eaca5a,101094381974829074146722814205444388008790568546824449635567112440703789113065,YES,24°C,arch-highest-temperature-in-beijing-on-may-18-2026,7,2,37.224270000000004,21.57,0.5794606583285582,0.04177911346548904,0.053263792304126104,0.01148467883863706,1346,1297,False,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0x408820d2b9bf488e5af59e331ef4eac90f2c41dd01b05a056673876e0f11e0fd,115370649889434322912167012482075923771155504240363910415658649759678320817006,YES,26°C,arch-highest-temperature-in-beijing-on-may-18-2026,1,0,6.5,0,0.0,0.26,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0x77254dbb4abf10cdff0210808df94b7da4dcf20a4a764b73db1d5abc4e8698ce,56962825135844378484371374410484058929037027473023259307316125919469238636662,YES,27°C,arch-highest-temperature-in-beijing-on-may-18-2026,8,7,59.690000000000005,59.682306,0.9998711006868821,0.20268721728932818,0.32037969511432757,0.11769247782499939,45552,-5144,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0xd26a4043020037b568b666b49afd9cd16e9f3ace22f3f6a4ce23a5fe5331ea00,60890727028459290629294173458778279207298782319411698250207268537234926168874,YES,22°C or below,arch-highest-temperature-in-beijing-on-may-18-2026,2,0,19.64,0,0.0,0.018478615071283098,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0xdf5e2429f94af73de508e171d361395c1e43d018c48ba2638730992d9faaf536,76592857712506272826723553897947767404823081267689158565545653612021248606973,YES,29°C,arch-highest-temperature-in-beijing-on-may-18-2026,13,2,98.85927,40.24,0.407043264632644,0.05140434478223438,0.022,-0.02940434478223438,67601,-30770,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-18,0xe5791c16702ce215137af2a3e1826f1da6309208c198cd3059542262738b6bf1,60062267788865075263889581698797280247089466776736457906023569325463862668783,YES,23°C,arch-highest-temperature-in-beijing-on-may-18-2026,1,0,7.34,0,0.0,0.020000000000000004,,,,,False,0
