wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,sell_timestamp,sell_price,sell_shares,cumulative_buy_shares_before,cumulative_sell_shares_before,observed_net_inventory_before,sell_to_observed_inventory_ratio,observed_exit_classification,has_prior_any_buy,has_prior_low_0_30_buy,first_any_buy_to_this_high_sell_seconds,first_low_buy_to_this_high_sell_seconds
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-29,0xce885c0ccadd2c87e079f113e401f00f66e03abfdbde2ae966ddc81e30993a7c,88370672710239899413587967168747249215956287478966027911724705173079921726748,YES,35°C,highest-temperature-in-beijing-on-july-29-2026,2026-07-29T17:03:48+08:00,0.998,25.05,254.50282399999995,0.0,254.50282399999995,0.09842719859171388,PARTIAL_OBSERVED_EXIT,True,False,147356,
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-29,0xce885c0ccadd2c87e079f113e401f00f66e03abfdbde2ae966ddc81e30993a7c,88370672710239899413587967168747249215956287478966027911724705173079921726748,YES,35°C,highest-temperature-in-beijing-on-july-29-2026,2026-07-29T17:58:48+08:00,0.998,86.35,254.50282399999995,25.05,229.45282399999994,0.37633008169034354,PARTIAL_OBSERVED_EXIT,True,False,150656,
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-30,0x0db68389519376349c25b967bbff44260bba8bc1241554748c21c93ddb913026,84614087306496951078700280080059316405378136245878187028222987614702007521463,YES,35°C,highest-temperature-in-beijing-on-july-30-2026,2026-07-30T17:12:14+08:00,0.998,100.0,441.7276910000002,0.0,441.7276910000002,0.2263838152722917,PARTIAL_OBSERVED_EXIT,True,True,159822,159822
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-30,0x0db68389519376349c25b967bbff44260bba8bc1241554748c21c93ddb913026,84614087306496951078700280080059316405378136245878187028222987614702007521463,YES,35°C,highest-temperature-in-beijing-on-july-30-2026,2026-07-30T17:27:21+08:00,0.998,341.72,441.7276910000002,100.0,341.7276910000002,0.9999774937758843,NEAR_FULL_OBSERVED_EXIT,True,True,160729,160729
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-01,0xbd82bbf250a42f9a6a6f35ba61069462ef3c4f29469a63a88a7ac3b7eb172846,16965443463146400687539218410880436586787279682503322483556606534661067919109,YES,36°C,highest-temperature-in-beijing-on-august-1-2026,2026-08-01T18:06:17+08:00,0.998,150.38,773.8988459999998,0.0,773.8988459999998,0.19431480067099108,PARTIAL_OBSERVED_EXIT,True,True,180795,180795
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-01,0xbd82bbf250a42f9a6a6f35ba61069462ef3c4f29469a63a88a7ac3b7eb172846,16965443463146400687539218410880436586787279682503322483556606534661067919109,YES,36°C,highest-temperature-in-beijing-on-august-1-2026,2026-08-01T18:08:53+08:00,0.998,307.18,773.8988459999998,150.38,623.5188459999998,0.49265551790554873,PARTIAL_OBSERVED_EXIT,True,True,180951,180951
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-01,0xbd82bbf250a42f9a6a6f35ba61069462ef3c4f29469a63a88a7ac3b7eb172846,16965443463146400687539218410880436586787279682503322483556606534661067919109,YES,36°C,highest-temperature-in-beijing-on-august-1-2026,2026-08-01T18:34:24+08:00,0.998,316.33,773.8988459999998,457.56,316.3388459999998,0.9999720363145036,NEAR_FULL_OBSERVED_EXIT,True,True,182482,182482
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-02,0xe753ea1406d3b5080f4ad339a36ca49a33ad417a58c6a22d0d236c5523a58e22,80406930717152445776761104406390160286641697275565209096357835061122335987605,YES,35°C,highest-temperature-in-beijing-on-august-2-2026,2026-08-02T16:39:03+08:00,0.998,392.87,415.36690600000003,0.0,415.36690600000003,0.9458384727453467,PARTIAL_OBSERVED_EXIT,True,True,160969,160969
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-02,0xe753ea1406d3b5080f4ad339a36ca49a33ad417a58c6a22d0d236c5523a58e22,80406930717152445776761104406390160286641697275565209096357835061122335987605,YES,35°C,highest-temperature-in-beijing-on-august-2-2026,2026-08-02T17:04:20+08:00,0.998,22.49,415.36690600000003,392.87,22.496906000000024,0.9996930244541171,NEAR_FULL_OBSERVED_EXIT,True,True,162486,162486
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-03,0x2805b7368be0ad9bec03edd2675b4b6fed9ca4a6eae4f36308e763ec61eda588,106287288353752676541590878526536079604722728259585654624855164693638610432596,YES,36°C,highest-temperature-in-beijing-on-august-3-2026,2026-08-03T16:44:23+08:00,0.999,44.0,44.0,0.0,44.0,1.0,NEAR_FULL_OBSERVED_EXIT,True,True,13268,13268
