rule_id,rule_family,rule_description,split,price_scenario,haircut,group_type,group,positions,events,cities,price_bins,buy_usd,net_pnl,roi_on_buy_usd,win_rate,median_pnl,median_roi,max_single_loss,top1_profit_share_of_net,top5_profit_share_of_net,top10_profit_share_of_net,leave_top1_out_net_pnl,leave_top5_out_net_pnl,weather_date_sequence_drawdown,delta_vs_hold_pnl,saved_loser_to_profit_count,roundtrip_2x_loss_improved_count,roundtrip_2x_loss_saved_to_profit_count,premature_correct_sell_loss_count,premature_correct_sell_loss_usd,max_city_abs_pnl_share,max_price_bin_abs_pnl_share
tp_2_0x_sell_100pct,single_take_profit,2x触发后卖出100%当前已买入且未卖出的份额，剩余持有结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,7793.182007603653,0.47599417967989316,0.5120240480961924,0.19641000092800098,0.17718132388782698,-168.41334300134858,0.09077242124323841,0.32860385700255584,0.5620749222498918,7085.776007584228,5232.312341582171,676.2609515377167,1183.2020199540004,396,514,395,113,10685.098358449,0.1570843738176259,0.26415516618836515
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_8,0.8,all_yes,all_yes,2023,1064,50,6,29891.674165604385,10503.412677548515,0.35138254951388886,0.20662382600098864,-3.0,-0.7858191519833725,-190.816699992179,0.0791943593526744,0.22449727600173894,0.36779936930447016,9671.6016395333,8145.425142716742,676.5232703046513,-881.8323558470995,57,739,57,280,4340.8259469104,0.14719093480530193,0.42409381442760063
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_9,0.9,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11219.840157265977,0.375350008671524,0.21107266435986158,-2.8385187479998906,-0.5679537179705073,-190.816699992179,0.07411001033528374,0.21048288314824246,0.3489001161461623,10388.337687250763,8858.255852502203,612.067626328475,-165.40487612963736,66,847,66,295,4189.275325296988,0.14636811008500325,0.4088436864583193
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,train,sampled_1_0,1.0,all_yes,all_yes,2023,1064,50,6,29891.674165604385,12032.763468234363,0.4025456520625455,0.21700444883835887,-2.6297231249999995,-0.4953703703703704,-190.816699992179,0.06915251614576208,0.19696198550233013,0.3274923839432865,11200.66759821915,9662.766484451018,571.939256633279,647.51843483875,78,965,78,309,4103.831073026875,0.1492947333236964,0.4093897319707295
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,5390.461368282953,0.3292401274073377,0.14128256513026052,-4.847643492565499,-0.9811663129093229,-340.113900006208,0.13346052199520705,0.56240312811975,0.9966880786019792,4671.047580276912,2358.8490327519526,1275.0479414464025,-1219.5186193666996,26,392,26,109,3154.8538426275995,0.12123445721197511,0.33523886461083247
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,5872.196442943616,0.35866367884786715,0.14228456913827656,-4.566828999155,-0.826195670164606,-340.113900006208,0.12255825882168148,0.5157561483519226,0.9302062496006241,5152.510271437574,2843.575023165156,1283.3156240103776,-737.783544706037,27,450,27,111,3041.0350106849246,0.11755856995570589,0.3261065448120214
tp_2_0x_sell_25pct,single_take_profit,2x触发后卖出25%当前已买入且未卖出的份额，剩余持有结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,6905.780492638154,0.42179321841008427,0.14729458917835672,-4.179307122285031,-0.7057046690280433,-168.41334300134858,0.10425448010888073,0.462107688720522,0.8216625780822577,6185.821937632113,3714.566230373869,1045.9747041070027,295.8005049885007,32,514,32,113,2671.274589612249,0.1065587240324066,0.2999080489815078
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_8,0.8,all_yes,all_yes,2023,1064,50,6,29891.674165604385,9621.580321701415,0.32188161387001635,0.4478497281265447,-1.0,-0.5716383039667449,-190.816699992179,0.08087239102085628,0.2024847433725482,0.33040142117885923,8843.4601156862,7673.357099423343,542.2225414241511,-1763.6647116941992,545,739,545,280,8681.6518938208,0.14042907167770977,0.4288643092442589
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_9,0.9,all_yes,all_yes,2023,1064,50,6,29891.674165604385,11054.435281136339,0.36981653218528676,0.4844290657439446,-0.3133800000000001,-0.13590743594101468,-190.816699992179,0.0703340378989753,0.17907521834426812,0.29514618632779654,10276.932211121126,9074.859869494268,413.31125347180387,-330.8097522592747,619,847,619,295,8378.550650593976,0.13962545658596595,0.39564072663345723
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,train,sampled_1_0,1.0,all_yes,all_yes,2023,1064,50,6,29891.674165604385,12680.281903073113,0.4242078189673298,0.513593672763223,0.024997591858100243,0.009259259259259226,-190.816699992179,0.06140950776705482,0.15878448759557226,0.2609754107620073,11901.592033057901,10666.849838526241,333.76981791929757,1295.0368696775,678,965,678,309,8207.66214605375,0.14455841815102502,0.3982029682628558
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,4170.942748916254,0.2547540234945276,0.36773547094188375,-2.9845600046614997,-0.9623326258186459,-340.113900006208,0.1570766839646198,0.6342001718228326,1.0706905269810019,3515.784892910213,1525.7301408903677,1385.3935921198668,-2439.0372387333996,252,392,252,109,6309.7076852552,0.13021548584583226,0.402078043790768
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,5134.412898237579,0.31360112637558635,0.4188376753507014,-2.25725000569,-0.652391340329212,-340.113900006208,0.12770741971903257,0.5311908005954347,0.9047342849641884,4478.710275231538,2407.0600002352335,1372.0801695228167,-1475.5670894120744,303,450,303,111,6082.070021369849,0.13389152434445892,0.3705503917930534
tp_2_0x_sell_50pct,single_take_profit,2x触发后卖出50%当前已买入且未卖出的份额，剩余持有结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,7201.580997626654,0.4398602055000206,0.4408817635270541,-1.6244774968039999,-0.4114093380560865,-168.41334300134858,0.09851045211505981,0.40641502705948124,0.7030746657115804,6492.149997607228,4274.7502616051715,875.2495747409785,591.6010099770003,325,514,325,113,5342.549179224499,0.11448660386828988,0.291037877732974
tp_2_0x_sell_75pct,single_take_profit,2x触发后卖出75%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_8,0.8,all_yes,all_yes,2023,1064,50,6,29891.674165604385,8739.747965854314,0.2923806782261439,0.4809688581314879,-0.534636,-0.35745745595011724,-190.816699992179,0.08288904632553665,0.1979642766333939,0.30297445156472347,8015.318591839101,7009.5900818357895,407.92181254365096,-2645.497067541299,612,739,611,280,13022.4778407312,0.13065007614403162,0.43520759915382434
tp_2_0x_sell_75pct,single_take_profit,2x触发后卖出75%当前已买入且未卖出的份额，剩余持有结算,train,haircut_0_9,0.9,all_yes,all_yes,2023,1064,50,6,29891.674165604385,10889.030405006702,0.36428305569904956,0.5170538803756797,0.22116449999999999,0.17536610031603567,-190.816699992179,0.06644335107031668,0.1628253849009648,0.25650015052595404,10165.52673499149,9116.019838113178,255.59716393280905,-496.21462838891216,685,847,684,295,12567.825975890963,0.130375715669417,0.37045067066284165
