asset_count,buy_usd,city,closed_asset_count,closed_authoritative_pnl,exit_modes,has_open_or_unresolved,has_transform_events,losing_closed_assets,no_asset_count,open_mark_to_market_cash_pnl,open_or_unresolved_asset_count,sell_usd,transform_asset_count,unit,weather_date,weather_metric,winning_closed_assets,yes_asset_count
3,27.613075999610494,London,2,87.478836,hold_to_resolution|mixed_sell_and_resolution|no_public_exit_yet,True,False,1,0,-7.0,1,0.3,0,C,2026-05-10,high,1,3
6,123.293499996275,Qingdao,5,518.841193,mixed_sell_and_resolution|no_public_exit_yet,True,False,3,1,-13.4715,1,628.6620969995913,0,C,2026-05-10,high,2,5
8,219.04568001336497,Sao Paulo,8,116.183363,mixed_sell_and_resolution|transform_affected,False,True,5,3,0,0,335.2248370239257,2,C,2026-05-10,high,3,5
3,870.6882999838421,Seoul,3,16.723551,hold_to_resolution|mixed_sell_and_resolution,False,False,0,2,0,0,84.61149999818801,0,C,2026-05-10,high,3,1
2,24.094000001599998,Shenzhen,2,-2.4021120000000002,mixed_sell_and_resolution,False,False,2,0,0,0,21.691770004600002,0,C,2026-05-10,high,0,2
1,0.6228,Tokyo,1,0.2076,mixed_sell_and_resolution,False,False,0,0,0,0,0.8304,0,C,2026-05-10,high,1,1
1,22.432099998708,Warsaw,1,16.597936,hold_to_resolution,False,False,0,1,0,0,0.0,0,C,2026-05-10,high,1,0
3,37.362400028778,Ankara,1,10.281176,mixed_sell_and_resolution|pre_resolution_sell,True,False,1,0,-12.1571,2,67.74611998367,0,C,2026-05-11,high,0,3
3,64.919509981002,Beijing,1,1.720015,mixed_sell_and_resolution|no_public_exit_yet,True,False,1,1,-10.979099999999999,2,55.660000000000004,0,C,2026-05-11,high,0,2
5,114.429619982334,Buenos Aires,5,22.149314,mixed_sell_and_resolution,False,False,5,1,0,0,136.578390040412,0,C,2026-05-11,high,0,4
3,246.705100038274,Busan,3,34.314942,hold_to_resolution|mixed_sell_and_resolution,False,False,2,1,0,0,53.46076995601899,0,C,2026-05-11,high,1,2
1,42.147199999783,Guangzhou,1,-12.760336,mixed_sell_and_resolution,False,False,0,1,0,0,29.386899997809,0,C,2026-05-11,high,1,0
2,270.95200000799997,London,2,37.040008,transform_affected,False,True,1,1,0,0,7.992,2,C,2026-05-11,high,1,1
2,528.631020003416,Munich,2,13.639748,hold_to_resolution,False,False,0,1,0,0,0.0,0,C,2026-05-11,high,2,1
1,9.137800001926001,Panama City,1,0.805169,mixed_sell_and_resolution,False,False,1,1,0,0,9.943000001727,0,C,2026-05-11,high,0,0
2,18.95768999894,Paris,0,0,pre_resolution_sell,True,False,0,0,-7.0863000000000005,2,7.343010003393,0,C,2026-05-11,high,0,2
5,56.995669972688,Qingdao,5,178.212326,mixed_sell_and_resolution,False,False,5,0,0,0,235.207439956747,0,C,2026-05-11,high,0,5
5,30.593030000081,Sao Paulo,2,25.759189,mixed_sell_and_resolution|no_public_exit_yet|pre_resolution_sell,True,False,1,1,-17.0717,3,43.025000007915,0,C,2026-05-11,high,1,4
3,36.836000012693994,Seoul,2,-3.236116,mixed_sell_and_resolution|no_public_exit_yet,True,False,2,0,-23.0759,1,10.523890001,0,C,2026-05-11,high,0,3
3,49.608679987326,Shenzhen,3,12.581249999999999,mixed_sell_and_resolution,False,False,3,0,0,0,62.189969977261,0,C,2026-05-11,high,0,3
2,18.533449994663002,Taipei,2,9.071543,mixed_sell_and_resolution,False,False,2,0,0,0,27.604759992236996,0,C,2026-05-11,high,0,2
1,1.78476,Beijing,1,-0.134294,mixed_sell_and_resolution,False,False,1,0,0,0,1.650430000648,0,C,2026-05-12,high,0,1
2,50.716910004853546,Buenos Aires,2,5.346913999999999,mixed_sell_and_resolution,False,False,2,1,0,0,56.06331000762,0,C,2026-05-12,high,0,1
9,98.483699978483,Busan,1,97.0,hold_to_resolution|no_public_exit_yet|pre_resolution_sell,True,False,0,0,-63.4481,8,43.273139980701,0,C,2026-05-12,high,1,9
1,19.885999995628,Istanbul,1,69.894089,hold_to_resolution,False,False,0,0,0,0,0.0,0,C,2026-05-12,high,1,1
2,4.817129993079,Moscow,0,0,no_public_exit_yet,True,False,0,0,-4.8168,2,0.0,0,C,2026-05-12,high,0,2
1,2.2398970020133184,Munich,0,0,no_public_exit_yet,True,False,0,0,-2.2398,1,0.0,0,C,2026-05-12,high,0,1
1,1.05,Qingdao,1,0.01,mixed_sell_and_resolution,False,False,1,0,0,0,1.06,0,C,2026-05-12,high,0,1
1,2.5500000000000003,Sao Paulo,0,0,no_public_exit_yet,True,False,0,0,-2.55,1,0.0,0,C,2026-05-12,high,0,1
5,26.652199997215998,Seoul,1,1.369974,mixed_sell_and_resolution|no_public_exit_yet,True,False,1,0,-14.8513,4,13.1700000002,0,C,2026-05-12,high,0,5
1,3.1262699761920003,Seoul,1,8.60927,mixed_sell_and_resolution,False,False,1,0,0,0,11.735760029436001,0,C,2026-05-12,low,0,1
1,41.079999997399995,Taipei,1,49.920052,hold_to_resolution,False,False,0,0,0,0,0.0,0,C,2026-05-12,high,1,1
1,60.218200006315,Tokyo,1,45.614121,mixed_sell_and_resolution,False,False,0,0,0,0,28.292200001639998,0,C,2026-05-12,high,1,1
