actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,nan,9.499106000107835,Amsterdam|2026-06-26|high|C,2,Amsterdam,0,unresolved_or_partial,nan,nan,38°C,nan,True,C,2026-06-26,high,
nan,23.6436,58.274805007033436,London|2026-06-26|high|C,4,London,1,unresolved_or_partial,nan,nan,37°C,nan,True,C,2026-06-26,high,36°C
nan,nan,0.65,Munich|2026-06-26|high|C,1,Munich,0,unresolved_or_partial,nan,nan,36°C,nan,False,C,2026-06-26,high,
nan,nan,6.163260000005,New York City|2026-06-26|high|F,2,New York City,0,unresolved_or_partial,nan,nan,between 78-79°F,nan,True,F,2026-06-26,high,
nan,126.145778,98.500738027522,Sao Paulo|2026-06-26|high|C,8,Sao Paulo,1,unresolved_or_partial,nan,nan,19°C,nan,True,C,2026-06-26,high,19°C
nan,-26.789777,70.23594700080332,Amsterdam|2026-06-27|high|C,3,Amsterdam,1,unresolved_or_partial,nan,nan,30°C or below,nan,True,C,2026-06-27,high,30°C or below
nan,165.847306,45.339831012815,Buenos Aires|2026-06-27|high|C,4,Buenos Aires,2,unresolved_or_partial,nan,nan,17°C,nan,True,C,2026-06-27,high,19°C
nan,nan,0.11697000000000002,Dallas|2026-06-27|high|F,1,Dallas,0,unresolved_or_partial,nan,nan,between 98-99°F,nan,False,F,2026-06-27,high,
nan,nan,35.912699991432,Istanbul|2026-06-27|high|C,1,Istanbul,0,unresolved_or_partial,nan,nan,29°C,nan,False,C,2026-06-27,high,
nan,174.79199,299.59004301053557,London|2026-06-27|high|C,3,London,1,unresolved_or_partial,nan,nan,32°C,nan,True,C,2026-06-27,high,31°C
nan,47.4804,83.1334870098366,Milan|2026-06-27|high|C,2,Milan,1,unresolved_or_partial,nan,nan,37°C,nan,True,C,2026-06-27,high,36°C
nan,nan,86.68910201861,Munich|2026-06-27|high|C,3,Munich,0,unresolved_or_partial,nan,nan,37°C,nan,True,C,2026-06-27,high,
nan,nan,1.1498000000000002,New York City|2026-06-27|low|F,1,New York City,0,unresolved_or_partial,nan,nan,between 72-73°F,nan,False,F,2026-06-27,low,
nan,nan,3.6,Paris|2026-06-27|high|C,1,Paris,0,unresolved_or_partial,nan,nan,38°C,nan,False,C,2026-06-27,high,
nan,-0.946171,24.300580000000004,Seoul|2026-06-27|high|C,2,Seoul,1,unresolved_or_partial,nan,nan,30°C,nan,True,C,2026-06-27,high,
nan,nan,6.8500000000000005,Shenzhen|2026-06-27|high|C,1,Shenzhen,0,unresolved_or_partial,nan,nan,28°C,nan,False,C,2026-06-27,high,
nan,nan,19.462500002000002,Taipei|2026-06-27|high|C,1,Taipei,0,unresolved_or_partial,nan,nan,27°C,nan,False,C,2026-06-27,high,
