capital_at_risk_usd,city_day_count,negative_city_day_count,positive_city_day_count,realized_pnl_v2,weather_date
1029.7399640468848,13,6,7,343.905418,2026-05-22
703.2184240443443,10,7,3,30.676747999999996,2026-05-23
462.270727000945,21,15,6,75.01211099999998,2026-05-24
421.9877630778096,14,10,3,-70.652634,2026-05-25
1056.308970026171,13,11,2,4.443663000000019,2026-05-26
369.9773519575214,14,14,0,-304.64282,2026-05-27
299.0358550337161,8,6,2,78.763137,2026-05-28
406.2478790090803,7,6,1,-25.709565,2026-05-29
196.03436799154252,11,10,1,-110.891273,2026-05-30
506.77830500299103,9,6,3,9.769080999999996,2026-05-31
385.22212001125575,11,8,3,232.391298,2026-06-01
372.9551670055669,7,4,3,-68.288296,2026-06-02
441.1123250375037,21,18,3,5.685450000000006,2026-06-03
133.53354500368934,13,12,1,-123.39290000000001,2026-06-04
633.0638839952825,10,7,3,522.9254729999999,2026-06-05
393.99843504126557,17,14,3,232.94034399999998,2026-06-06
811.4483709516348,10,7,3,165.55476599999997,2026-06-07
103.38680400351096,8,6,2,34.17906,2026-06-08
438.81323004249003,11,6,5,267.74588500000004,2026-06-09
300.4984989732894,9,8,1,-94.70884099999999,2026-06-10
561.5947690642796,16,11,5,413.803713,2026-06-11
1034.764303957966,15,7,8,674.794654,2026-06-12
256.441213971145,10,9,1,-131.589944,2026-06-13
454.1061349717807,12,8,4,168.06098,2026-06-14
351.5414049741773,11,5,6,191.83665800000003,2026-06-15
303.70459501999744,14,11,3,189.39365,2026-06-16
233.38268395949373,11,7,4,331.495006,2026-06-17
346.89964299554055,6,5,1,-171.667311,2026-06-18
871.4404899789945,7,6,1,-143.978756,2026-06-19
269.82361801022955,9,9,0,-219.7148,2026-06-20
864.6351639529724,12,10,2,-259.473164,2026-06-21
429.09443101952996,8,6,2,88.31692500000003,2026-06-22
264.71105501989155,9,8,1,-65.777,2026-06-23
158.322559003702,9,8,1,-32.53037300000001,2026-06-24
808.2587859649552,9,7,2,-39.153925,2026-06-25
173.0879090346683,5,4,1,0.7903780000000008,2026-06-26
1153.497510044312,14,12,2,86.94296200000004,2026-06-27
387.4070919985437,12,7,5,856.673578,2026-06-28
290.0114260082219,13,10,3,684.071928,2026-06-29
403.8999240181551,14,9,5,154.63762999999997,2026-06-30
190.03239800081602,7,6,1,42.722026,2026-07-01
328.9376740440363,11,9,2,-167.316333,2026-07-02
310.7355710003955,13,11,2,39.383103000000006,2026-07-03
1035.861180962175,8,6,2,137.19802800000002,2026-07-04
560.386236016207,17,14,3,-50.717736,2026-07-05
242.35904095671717,9,8,1,-19.48925300000001,2026-07-06
658.368599061582,8,3,5,1000.160963,2026-07-07
317.58729103524445,6,4,2,251.27300999999997,2026-07-08
477.0665689582435,8,6,2,509.101623,2026-07-09
379.03747401375153,7,6,1,-146.25688100000002,2026-07-10
176.74426200165976,9,7,2,178.271941,2026-07-11
710.7022740085471,13,11,2,-95.90876500000002,2026-07-12
434.591274028316,9,5,4,943.0764150000001,2026-07-13
489.09607601025044,10,8,2,-169.525326,2026-07-14
95.73022604842299,7,7,0,-65.65872999999999,2026-07-15
394.52989799522845,9,7,2,2.3436259999999995,2026-07-16
256.6665510564938,9,6,3,336.176207,2026-07-17
404.39473410640426,13,9,4,341.054052,2026-07-18
105.17646902100698,5,3,2,77.11649899999999,2026-07-19
17.597610000564,2,0,2,52.008224,2026-07-20
