city_a,city_b,overlap_days,pearson_corr_no_zero_fill,same_sign_rate
Amsterdam,Beijing,8,0.3215545123533519,0.75
Amsterdam,Munich,8,0.9073096216585701,0.875
Amsterdam,Taipei,8,0.6623403048623914,0.75
Amsterdam,Tokyo,8,0.08163798797150808,0.875
Beijing,Chongqing,8,0.15821030800491978,0.5
Busan,Toronto,8,-0.4246516851456351,0.625
Busan,Wuhan,8,-0.11210121742069669,0.75
Chongqing,Tokyo,8,-0.2743699763767564,0.25
Chongqing,Wuhan,8,-0.2844509765407888,0.625
Dallas,Miami,8,-0.1745600153131574,0.5
Dallas,New York City,8,-0.23433111449463753,0.375
Helsinki,Shenzhen,8,0.41662651584440924,0.625
Hong Kong,Shanghai,8,-0.4889455786328121,0.25
Hong Kong,Wellington,8,0.5704424813466608,0.5
Istanbul,Milan,8,0.7172640370723613,0.5
Madrid,Wuhan,8,0.6686042807529498,0.875
Moscow,Toronto,8,0.7609820938502744,0.375
New York City,Seattle,8,-0.7261974318756053,0.75
Paris,Toronto,8,0.0004741055810910589,0.625
Tokyo,Wellington,8,-0.28371780161002247,0.375
Amsterdam,Madrid,7,0.14092004050207133,0.42857142857142855
Amsterdam,Paris,7,0.13303737225725412,0.7142857142857143
Ankara,Helsinki,7,-0.23615335884860705,0.5714285714285714
Atlanta,Dallas,7,-0.49504706195383236,0.7142857142857143
Beijing,Wellington,7,-0.5038935804760536,0.2857142857142857
Buenos Aires,Helsinki,7,0.45089396411430377,0.7142857142857143
Buenos Aires,Mexico City,7,-0.06530272561615075,0.5714285714285714
Busan,Helsinki,7,0.1582658071739271,0.5714285714285714
Chengdu,Seoul,7,-0.07220982912591307,0.7142857142857143
Chongqing,Taipei,7,0.11477359557870666,0.5714285714285714
Helsinki,Shanghai,7,-0.22543407434466262,0.8571428571428571
Hong Kong,Istanbul,7,0.8826121009008964,0.8571428571428571
Hong Kong,Milan,7,0.4878552482273054,0.2857142857142857
Istanbul,Qingdao,7,0.001353504029267077,0.7142857142857143
London,Panama City,7,-0.3184813672961393,0.5714285714285714
Mexico City,Seoul,7,-0.04706915337718176,0.5714285714285714
Milan,Qingdao,7,-0.6707122313472208,0.2857142857142857
Munich,Toronto,7,-0.5778106140251731,0.2857142857142857
Shenzhen,Toronto,7,0.00552719718516523,0.7142857142857143
Taipei,Toronto,7,0.023972022769232264,0.2857142857142857
Amsterdam,Ankara,6,0.32943562475379423,1.0
Amsterdam,Milan,6,0.2613817625988601,0.6666666666666666
Amsterdam,Shenzhen,6,0.26232120623244476,0.5
Amsterdam,Warsaw,6,0.9017898986472902,0.6666666666666666
Ankara,Wellington,6,-0.7112517092165085,0.5
Buenos Aires,Lucknow,6,-0.37508420292989025,0.8333333333333334
Busan,Wellington,6,0.403421385892327,0.5
Cape Town,London,6,-0.8309615598860471,0.16666666666666666
Chicago,Dallas,6,0.6880572807914567,0.5
Chongqing,Munich,6,0.7405829605443479,0.6666666666666666
Chongqing,Paris,6,0.18151333480721912,0.6666666666666666
Guangzhou,London,6,0.014728193879845282,0.16666666666666666
Helsinki,Hong Kong,6,-0.03160805089193208,0.6666666666666666
Helsinki,Madrid,6,-0.03954018381551353,0.6666666666666666
Helsinki,Paris,6,0.5459588244533935,0.6666666666666666
Helsinki,Wuhan,6,0.32017496546486396,0.5
Istanbul,Toronto,6,0.3193272413643265,0.8333333333333334
London,Mexico City,6,-0.2430102726170685,0.6666666666666666
Lucknow,Seoul,6,-0.34054440133811126,0.16666666666666666
Madrid,Toronto,6,0.3677991392988319,0.5
Mexico City,Sao Paulo,6,0.3008455065506091,0.8333333333333334
Milan,Wuhan,6,-0.9209449183127277,0.5
Munich,Wellington,6,-0.32176851732272826,0.3333333333333333
Panama City,Seoul,6,0.7078539766693954,0.6666666666666666
Paris,Tel Aviv,6,-0.04483938262974519,0.6666666666666666
Taipei,Tel Aviv,6,-0.07100842789406438,0.5
Tel Aviv,Warsaw,6,0.2329379984472889,0.5
Toronto,Warsaw,6,-0.21142121221806176,0.3333333333333333
Warsaw,Wuhan,6,-0.0016127332667516035,0.5
Amsterdam,Busan,5,0.1655428919636408,0.6
Amsterdam,Wuhan,5,-0.6575712356574728,1.0
Ankara,Chengdu,5,0.5302049686539032,0.8
Ankara,Panama City,5,-0.8709385577914285,0.8
Atlanta,New York City,5,0.638107526320227,0.6
Beijing,Mexico City,5,0.7901872536511724,0.8
Beijing,Toronto,5,-0.687148516004923,0.2
Buenos Aires,Cape Town,5,-0.05380898515325679,0.8
Busan,Panama City,5,0.6296151129678846,0.6
Busan,Tel Aviv,5,0.4869224400517262,0.8
Cape Town,Moscow,5,0.16042698607480915,0.6
Chengdu,Paris,5,0.6425833835701525,0.6
Chengdu,Sao Paulo,5,-0.024460027181751155,0.6
Chicago,Miami,5,0.06608691271170147,0.4
Chongqing,Istanbul,5,0.03426823878545569,0.6
Chongqing,Milan,5,-0.6615747558716943,0.4
Guangzhou,Munich,5,0.7794759488419942,0.8
Helsinki,Munich,5,-0.09921530041453375,0.4
Helsinki,Taipei,5,0.23525597540109788,0.4
Helsinki,Warsaw,5,-0.48619344156051886,0.4
Hong Kong,Toronto,5,-0.424572605908785,0.4
Lucknow,Sao Paulo,5,-0.6091421200249126,0.8
Madrid,Tel Aviv,5,0.8022603205895139,0.8
Mexico City,Moscow,5,0.24077150928980356,0.2
Mexico City,Shanghai,5,0.12277305549954497,0.6
Mexico City,Shenzhen,5,-0.7950131159334295,0.4
Moscow,Panama City,5,-0.49903487631664056,0.2
Moscow,Wellington,5,-0.11272690377512089,0.8
Panama City,Sao Paulo,5,0.8090369891960242,1.0
Qingdao,Toronto,5,0.00855900734453606,0.8
Shenzhen,Wellington,5,0.17740825171752556,0.8
Shenzhen,Wuhan,5,-0.2106720032624932,0.8
Taipei,Wuhan,5,-0.2860527676834338,0.8
