actual_minus_equal_amount,actual_minus_main_bucket,actual_minus_original_hold,actual_trade_pnl_v2,basket_key,bucket_count,buckets,city,equal_amount_basket_same_input_pnl,equal_payout_basket_same_input_pnl,evaluable,liquidity_limit,main_bucket,main_bucket_only_same_input_pnl,non_simultaneous_fill_limit,not_evaluable_reason,original_shares_hold_to_resolution_pnl,settled_yes_bucket_count,total_input_usd,unit,weather_date,weather_metric,winner_buckets
0.003081999304001215,0.003081999304001215,0.003081999304001215,-30.5905,Sao Paulo|2026-07-02|high|C,3,27°C|28°C|29°C,Sao Paulo,-30.593581999304,-30.593581999304,True,counterfactual assumes all target shares could be filled at observed weighted average prices,28°C,-30.593581999304,counterfactual ignores that original fills occurred at different times and market states,,-30.593581999304,,30.593581999304,C,2026-07-02,high,
0.0004000138739996828,0.0004000138739996828,0.0004000138739996828,-35.2278,Tokyo|2026-07-02|high|C,2,22°C|23°C,Tokyo,-35.228200013874,-35.228200013874,True,counterfactual assumes all target shares could be filled at observed weighted average prices,22°C,-35.228200013874,counterfactual ignores that original fills occurred at different times and market states,,-35.228200013874,,35.228200013874,C,2026-07-02,high,
0.0001000023000017336,0.0001000023000017336,0.0001000023000017336,-23.6419,Warsaw|2026-07-02|high|C,2,25°C|26°C,Warsaw,-23.6420000023,-23.6420000023,True,counterfactual assumes all target shares could be filled at observed weighted average prices,26°C,-23.6420000023,counterfactual ignores that original fills occurred at different times and market states,,-23.6420000023,,23.6420000023,C,2026-07-02,high,
,,,,Buenos Aires|2026-07-03|high|C,4,,Buenos Aires,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,4,,C,2026-07-03,high,
,,,,Cape Town|2026-07-03|high|C,2,,Cape Town,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-07-03,high,
-15.582942606772406,-146.48340421766054,-44.872480995884274,38.14565400000001,London|2026-07-03|high|C,2,27°C|28°C,London,53.72859660677241,153.24146203696682,True,counterfactual assumes all target shares could be filled at observed weighted average prices,27°C,184.62905821766054,counterfactual ignores that original fills occurred at different times and market states,,83.01813499588428,,77.17186500411572,C,2026-07-03,high,27°C
39.34225158387388,-25.692277841004227,-1.073218991247984,88.494541,Sao Paulo|2026-07-03|high|C,2,27°C|28°C,Sao Paulo,49.152289416126116,102.93804516924168,True,counterfactual assumes all target shares could be filled at observed weighted average prices,27°C,114.18681884100423,counterfactual ignores that original fills occurred at different times and market states,,89.56775999124798,,15.882240008752001,C,2026-07-03,high,27°C
8.410988977939997,8.410988977939997,8.410988977939997,-20.3128,Shenzhen|2026-07-03|high|C,3,27°C|28°C|29°C,Shenzhen,-28.723788977939996,-28.723788977939996,True,counterfactual assumes all target shares could be filled at observed weighted average prices,28°C,-28.723788977939996,counterfactual ignores that original fills occurred at different times and market states,,-28.723788977939996,,28.723788977939996,C,2026-07-03,high,
,,,,Beijing|2026-07-04|high|C,3,,Beijing,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,C,2026-07-04,high,
63.17196301643403,63.17196301643403,63.17196301643403,-61.821000000000005,Busan|2026-07-04|high|C,3,23°C|24°C|25°C,Busan,-124.99296301643403,-124.99296301643403,True,counterfactual assumes all target shares could be filled at observed weighted average prices,25°C,-124.99296301643403,counterfactual ignores that original fills occurred at different times and market states,,-124.99296301643403,,124.99296301643403,C,2026-07-04,high,
,,,,London|2026-07-04|high|C,7,,London,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,7,,C,2026-07-04,high,
,,,,New York City|2026-07-04|high|F,3,,New York City,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,F,2026-07-04,high,
0.00046700533999910476,0.00046700533999910476,0.00046700533999910476,-52.6019,Qingdao|2026-07-04|high|C,2,28°C|29°C,Qingdao,-52.60236700534,-52.60236700534,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,-52.60236700534,counterfactual ignores that original fills occurred at different times and market states,,-52.60236700534,,52.60236700534,C,2026-07-04,high,
93.11442291958782,-286.0122011636154,-21.488952997208948,-1.782953,Seoul|2026-07-04|low|C,2,22°C|23°C,Seoul,-94.89737591958783,-23.99143717734529,True,counterfactual assumes all target shares could be filled at observed weighted average prices,23°C,284.22924816361535,counterfactual ignores that original fills occurred at different times and market states,,19.70599999720895,,474.024000002791,C,2026-07-04,low,23°C
-359.7337982229526,466.513405998554,-194.51659400144604,357.03932,Warsaw|2026-07-04|high|C,2,20°C|21°C,Warsaw,716.7731182229526,329.9936607239544,True,counterfactual assumes all target shares could be filled at observed weighted average prices,21°C,-109.474085998554,counterfactual ignores that original fills occurred at different times and market states,,551.555914001446,,109.474085998554,C,2026-07-04,high,20°C
17.836563122986263,-164.27073063667524,0.0002100028170133328,94.394543,Austin|2026-07-05|high|F,3,between 94-95°F|between 96-97°F|between 98-99°F,Austin,76.55797987701374,86.82558797029773,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 94-95°F,258.66527363667524,counterfactual ignores that original fills occurred at different times and market states,,94.39433299718299,,14.49566700281701,F,2026-07-05,high,between 94-95°F
24.441398003356003,24.441398003356003,24.441398003356003,-21.948710000000002,Buenos Aires|2026-07-05|high|C,3,10°C|11°C|12°C,Buenos Aires,-46.390108003356005,-46.390108003356005,True,counterfactual assumes all target shares could be filled at observed weighted average prices,10°C,-46.390108003356005,counterfactual ignores that original fills occurred at different times and market states,,-46.390108003356005,,46.390108003356005,C,2026-07-05,high,
36.020697000051,36.020697000051,36.020697000051,1.0713570000000001,Dallas|2026-07-05|high|F,2,between 92-93°F|between 94-95°F,Dallas,-34.949340000051,-34.949340000051,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 94-95°F,-34.949340000051,counterfactual ignores that original fills occurred at different times and market states,,-34.949340000051,,34.949340000051,F,2026-07-05,high,
11.077402999488385,11.077402999488385,11.077402999488385,-13.0256,London|2026-07-05|high|C,2,26°C|27°C,London,-24.103002999488385,-24.103002999488385,True,counterfactual assumes all target shares could be filled at observed weighted average prices,27°C,-24.103002999488385,counterfactual ignores that original fills occurred at different times and market states,,-24.103002999488385,,24.103002999488385,C,2026-07-05,high,
8.099999999799934e-05,8.099999999799934e-05,8.099999999799934e-05,-26.9997,Moscow|2026-07-05|high|C,2,20°C|21°C,Moscow,-26.999781,-26.999781,True,counterfactual assumes all target shares could be filled at observed weighted average prices,21°C,-26.999781,counterfactual ignores that original fills occurred at different times and market states,,-26.999781,,26.999781,C,2026-07-05,high,
,,,,Munich|2026-07-05|high|C,2,,Munich,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-07-05,high,
